Species,Plot,Observers,Date,North_Int,South_Int,East_Int,West_Int,Total_Int,
Picea maria,CS_70,IR & GR,2019-07-18,4,3,0,0,7,
Osmundastrum cinmomea,CS_70,IR & GR,2019-07-18,0,0,0,30,30,
Viburnum Spp.,CS_70,IR & GR,2019-07-18,2,0,1,3,6,
Chamaedaphne calyculata,CS_70,IR & GR,2019-07-18,0,0,1,0,1,
Alnus inca,CS_70,IR & GR,2019-07-18,0,0,0,4,4,
Alnus inca,CS_71,IR & GR,2019-07-18,6,46,20,3,75,
Osmundastrum cinmomea,CS_71,IR & GR,2019-07-18,3,7,1,0,11,
Kalmia angustifolia,CS_71,IR & GR,2019-07-18,12,8,1,0,21,
Rhododendron groenlandicum,CS_71,IR & GR,2019-07-18,0,1,5,0,6,
Picea maria,CS_71,IR & GR,2019-07-18,4,1,5,6,16,
Viburnum spp.,CS_71,IR & GR,2019-07-18,1,3,2,1,7,
Rhododendron cadense,CS_71,IR & GR,2019-07-18,1,0,0,0,1,
Orioclea sensibilis,CS_71,IR & GR,2019-07-18,1,0,0,0,1,
Chamaedaphne calyculata,CS_71,IR & GR,2019-07-18,0,19,0,0,19,
Picea glauca,CS_72,YW & AM,2019-07-14,5,2,1,0,8,** only measure first 5!**
Kalmia angustifolia,CS_72,YW & AM,2019-07-14,0,5,5,2,12,
Aralia nudicaulis,CS_72,YW & AM,2019-07-14,0,1,0,0,1,
Rhododendron groenlandicum,CS_72,YW & AM,2019-07-14,0,1,0,0,1,
Abies balsamea,CS_72,YW & AM,2019-07-14,0,0,0,1,1,
