Species,Plot,Observers,Date,Intersection,Height(cm),BasalDiam(cm),Distance (m)
Cornus stolonifera,CS_09,IR & GR,2019-07-11,W3,56.5,0.2,6.26
Viburnum edule,CS_09,IR & GR,2019-07-11,W1,44.5,0.3,5.5
Viburnum edule,CS_09,IR & GR,2019-07-11,W2,44.5,0.3,5.5
Acer rubrum,CS_09,IR & GR,2019-07-11,W1,49.5,0.4,7.7
Acer rubrum,CS_09,IR & GR,2019-07-11,W2,52.5,0.4,7.97
Betula papyrifera,CS_09,IR & GR,2019-07-11,W1,43,0.3,5.44
Kalmia angustifolia,CS_10,IR & GR,2019-07-10,N1,63,0.2,0.02
Kalmia angustifolia,CS_10,IR & GR,2019-07-10,N2,98,0.9,0.2
Kalmia angustifolia,CS_10,IR & GR,2019-07-10,N3,53,0.3,0.18
Kalmia angustifolia,CS_10,IR & GR,2019-07-10,N4,56,0.3,1.02
Kalmia angustifolia,CS_10,IR & GR,2019-07-10,N5,101.5,0.6,1.45
Vaccinium angustifolium ,CS_10,IR & GR,2019-07-10,N1,40,0.2,0.8
Vaccinium angustifolium ,CS_10,IR & GR,2019-07-10,N2,62,0.6,1.32
Vaccinium angustifolium ,CS_10,IR & GR,2019-07-10,N3,40,1.5,2.8
Vaccinium angustifolium ,CS_10,IR & GR,2019-07-10,N4,41,1.5,8.5
Picea maria,CS_10,IR & GR,2019-07-10,N1,43,0.3,2.06
Picea maria,CS_10,IR & GR,2019-07-10,N2,58,0.5,2.5
Picea maria,CS_10,IR & GR,2019-07-10,N3,130.5,2.5,2.6
Picea maria,CS_10,IR & GR,2019-07-10,N4,97,2.4,2.65
Picea maria,CS_10,IR & GR,2019-07-10,N5,59.5,1.5,2.8
Kalmia angustifolia,CS_10,IR & GR,2019-07-10,S1,45,0.2,0.96
Kalmia angustifolia,CS_10,IR & GR,2019-07-10,S2,60,0.2,0.8
Kalmia angustifolia,CS_10,IR & GR,2019-07-10,S3,88,0.5,1.03
Kalmia angustifolia,CS_10,IR & GR,2019-07-10,S4,68,0.4,1.4
Kalmia angustifolia,CS_10,IR & GR,2019-07-10,S5,59,0.3,1.51
Vaccinium angustifolium ,CS_10,IR & GR,2019-07-10,S1,51,0.5,1.05
Vaccinium angustifolium ,CS_10,IR & GR,2019-07-10,S2,54,0.4,1.08
Picea maria,CS_10,IR & GR,2019-07-10,S1,84,1.2,0.2
Picea maria,CS_10,IR & GR,2019-07-10,S2,55,0.6,0.4
Picea maria,CS_10,IR & GR,2019-07-10,S3,83,0.9,0.12
Picea maria,CS_10,IR & GR,2019-07-10,S4,50,0.9,0.85
Picea maria,CS_10,IR & GR,2019-07-10,S5,50,1,1.2
Rhododendron cadense,CS_10,IR & GR,2019-07-10,S1,66,0.4,4.65
Rhododendron cadense,CS_10,IR & GR,2019-07-10,S2,54,0.3,4.97
Rhododendron cadense,CS_10,IR & GR,2019-07-10,S3,125,0.4,5.16
Rhododendron cadense,CS_10,IR & GR,2019-07-10,S4,96,0.8,5.91
Kalmia angustifolia,CS_10,IR & GR,2019-07-10,W1,1.03,0.7,0.34
Kalmia angustifolia,CS_10,IR & GR,2019-07-10,W2,84,0.4,0.35
Kalmia angustifolia,CS_10,IR & GR,2019-07-10,W3,75,0.4,0.7
Kalmia angustifolia,CS_10,IR & GR,2019-07-10,W4,54.5,0.2,0.8
Kalmia angustifolia,CS_10,IR & GR,2019-07-10,W5,73,0.3,0.77
Vaccinium angustifolium ,CS_10,IR & GR,2019-07-10,W1,55,0.3,0.87
Vaccinium angustifolium ,CS_10,IR & GR,2019-07-10,W2,55,0.4,5.1
Picea maria,CS_10,IR & GR,2019-07-10,W1,86.5,1,0.3
Picea maria,CS_10,IR & GR,2019-07-10,W2,101,2,0.37
Picea maria,CS_10,IR & GR,2019-07-10,W3,85.5,1.2,0.44
Picea maria,CS_10,IR & GR,2019-07-10,W4,60,1.3,0.58
Picea maria,CS_10,IR & GR,2019-07-10,W5,47,0.5,0.95
Rhododendron groenlandicum,CS_10,IR & GR,2019-07-10,W1,51,0.4,3.61
Rhododendron groenlandicum,CS_10,IR & GR,2019-07-10,W2,60.5,0.5,3.66
Rhododendron groenlandicum,CS_10,IR & GR,2019-07-10,W3,79,0.6,3.9
Rhododendron groenlandicum,CS_10,IR & GR,2019-07-10,W4,80,0.5,4.32
Rhododendron groenlandicum,CS_10,IR & GR,2019-07-10,W5,108,0.9,4.46
Rhododendron cadense,CS_10,IR & GR,2019-07-10,W1,48,0.3,0.65
Rhododendron cadense,CS_10,IR & GR,2019-07-10,W2,60,0.5,0.95
Rhododendron cadense,CS_10,IR & GR,2019-07-10,W3,85,0.3,1.2
Rhododendron cadense,CS_10,IR & GR,2019-07-10,W4,50,0.4,1
Rhododendron cadense,CS_10,IR & GR,2019-07-10,W5,55,0.5,1.78
Kalmia angustifolia,CS_10,IR & GR,2019-07-10,W1,50,0.2,0.25
Kalmia angustifolia,CS_10,IR & GR,2019-07-10,W2,122,0.5,0.65
Kalmia angustifolia,CS_10,IR & GR,2019-07-10,W3,101,0.5,0.81
Kalmia angustifolia,CS_10,IR & GR,2019-07-10,W4,40,0.2,1.6
Kalmia angustifolia,CS_10,IR & GR,2019-07-10,W5,129,2.9,1.8
Vaccinium angustifolium ,CS_10,IR & GR,2019-07-10,W1,45,0.4,10
Picea maria,CS_10,IR & GR,2019-07-10,W1,109.5,2,0.44
Picea maria,CS_10,IR & GR,2019-07-10,W2,126.5,2.9,0.52
Picea maria,CS_10,IR & GR,2019-07-10,W3,96.5,1.5,0.8
Picea maria,CS_10,IR & GR,2019-07-10,W4,95,1,1.4
Picea maria,CS_10,IR & GR,2019-07-10,W5,129,2.9,1.8
Rhododendron groenlandicum,CS_10,IR & GR,2019-07-10,W1,74.5,0.3,3.29
Rhododendron groenlandicum,CS_10,IR & GR,2019-07-10,W2,92,0.6,3.5
Rhododendron groenlandicum,CS_10,IR & GR,2019-07-10,W3,55,0.2,3.02
Rhododendron groenlandicum,CS_10,IR & GR,2019-07-10,W4,88.5,0.7,4.25
Rhododendron groenlandicum,CS_10,IR & GR,2019-07-10,W5,62,0.4,4.2
Kalmia angustifolia,CS_11,YW & AM,2019-07-11,N1,43,0.4,0.12
Kalmia angustifolia,CS_11,YW & AM,2019-07-11,N2,67,0.4,0.13
Kalmia angustifolia,CS_11,YW & AM,2019-07-11,N3,69,0.5,0.13
Kalmia angustifolia,CS_11,YW & AM,2019-07-11,N4,78,0.75,0.2
Kalmia angustifolia,CS_11,YW & AM,2019-07-11,N5,77,0.65,0.32
Amelanchier Spp.,CS_11,YW & AM,2019-07-11,N1,83,0.5,1.1
Amelanchier Spp.,CS_11,YW & AM,2019-07-11,N2,60,0.45,1.2
Amelanchier Spp.,CS_11,YW & AM,2019-07-11,N3,47,0.55,5.4
Amelanchier Spp.,CS_11,YW & AM,2019-07-11,N4,78,0.9,4.4
Picea maria,CS_11,YW & AM,2019-07-11,N1,1.46,2.9,5.4
Kalmia angustifolia,CS_11,YW & AM,2019-07-11,E1,78,0.65,0.4
Kalmia angustifolia,CS_11,YW & AM,2019-07-11,E2,64,0.45,0.4
Kalmia angustifolia,CS_11,YW & AM,2019-07-11,E3,58,0.3,0.4
Kalmia angustifolia,CS_11,YW & AM,2019-07-11,E4,73,0.6,0.4
Kalmia angustifolia,CS_11,YW & AM,2019-07-11,E5,71,0.6,0.95
Amelanchier Spp.,CS_11,YW & AM,2019-07-11,E1,82,0.4,2.1
Viburnum nudum,CS_11,YW & AM,2019-07-11,E1,68,0.45,8.9
Viburnum nudum,CS_11,YW & AM,2019-07-11,E2,49,0.45,1.26
Kalmia angustifolia,CS_11,YW & AM,2019-07-11,S1,42,0.25,0.15
Kalmia angustifolia,CS_11,YW & AM,2019-07-11,S2,43,0.5,0.25
Kalmia angustifolia,CS_11,YW & AM,2019-07-11,S3,50,0.4,0.35
Kalmia angustifolia,CS_11,YW & AM,2019-07-11,S4,55,0.4,0.75
Kalmia angustifolia,CS_11,YW & AM,2019-07-11,S5,52,0.4,0.8
Picea maria,CS_11,YW & AM,2019-07-11,S1,78,1.7,3.7
Picea maria,CS_11,YW & AM,2019-07-11,S2,121,2.3,5.75
Kalmia angustifolia,CS_11,YW & AM,2019-07-11,W1,61,0.7,1.8
Kalmia angustifolia,CS_11,YW & AM,2019-07-11,W2,62,0.6,1.9
Kalmia angustifolia,CS_11,YW & AM,2019-07-11,W3,67,0.6,2.3
Kalmia angustifolia,CS_11,YW & AM,2019-07-11,W4,45,0.25,3.22
Kalmia angustifolia,CS_11,YW & AM,2019-07-11,W5,66,0.25,6.6
Kalmia angustifolia,CS_12,YW & AM,2019-07-12,N1,5146,0.25,0.1
Kalmia angustifolia,CS_12,YW & AM,2019-07-12,N2,66,0.5,0.05
Kalmia angustifolia,CS_12,YW & AM,2019-07-12,N3,68,0.55,0.34
Kalmia angustifolia,CS_12,YW & AM,2019-07-12,N4,51,0.4,0.4
Kalmia angustifolia,CS_12,YW & AM,2019-07-12,N5,56,0.4,0.3
Amelanchier Spp.,CS_12,YW & AM,2019-07-12,N1,68,0.7,0.35
Kalmia angustifolia,CS_12,YW & AM,2019-07-12,E1,76,0.5,0.6
Kalmia angustifolia,CS_12,YW & AM,2019-07-12,E2,44,0.3,0.6
Kalmia angustifolia,CS_12,YW & AM,2019-07-12,E3,48,0.4,0.9
Kalmia angustifolia,CS_12,YW & AM,2019-07-12,E4,52,0.4,1
Kalmia angustifolia,CS_12,YW & AM,2019-07-12,E5,58,0.5,1.45
Picea glauca,CS_12,YW & AM,2019-07-12,E1,177,2.5,6.8
Kalmia angustifolia,CS_12,YW & AM,2019-07-12,S1,68,0.35,0.03
Kalmia angustifolia,CS_12,YW & AM,2019-07-12,S2,72,0.35,0.1
Kalmia angustifolia,CS_12,YW & AM,2019-07-12,S3,69,0.35,0.4
Kalmia angustifolia,CS_12,YW & AM,2019-07-12,S4,63,0.4,0.4
Kalmia angustifolia,CS_12,YW & AM,2019-07-12,S5,54,0.3,0.4
Amelanchier Spp.,CS_12,YW & AM,2019-07-12,S1,42,0.5,2.48
Vaccinium angustifolium ,CS_12,YW & AM,2019-07-12,S1,64,0.75,3.15
Picea maria,CS_12,YW & AM,2019-07-12,S1,125,2.7,5.25
Kalmia angustifolia,CS_12,YW & AM,2019-07-12,W1,47,0.25,0.55
Kalmia angustifolia,CS_12,YW & AM,2019-07-12,W2,96,0.7,0.8
Kalmia angustifolia,CS_12,YW & AM,2019-07-12,W3,90,0.7,0.8
Kalmia angustifolia,CS_12,YW & AM,2019-07-12,W4,73,0.6,0.8
Kalmia angustifolia,CS_12,YW & AM,2019-07-12,W5,105,0.7,0.7
Amelanchier Spp.,CS_12,YW & AM,2019-07-12,W1,90,0.55,2.9
Kalmia angustifolia,CS_13,YW & AM,2019-07-12,N1,58,0.35,0.1
Kalmia angustifolia,CS_13,YW & AM,2019-07-12,N2,44,0.2,0.1
Kalmia angustifolia,CS_13,YW & AM,2019-07-12,N3,72,0.45,0.5
Kalmia angustifolia,CS_13,YW & AM,2019-07-12,N4,110,0.6,1.2
Kalmia angustifolia,CS_13,YW & AM,2019-07-12,N5,83,0.4,1.2
Alnus inca,CS_13,YW & AM,2019-07-12,N1,69,0.7,0.1
Alnus inca,CS_13,YW & AM,2019-07-12,N2,92,0.7,0.1
Alnus inca,CS_13,YW & AM,2019-07-12,N3,81,0.7,2.9
Alnus inca,CS_13,YW & AM,2019-07-12,N4,123,1,3.3
Alnus inca,CS_13,YW & AM,2019-07-12,N5,41,0.25,4.4
Rhododendron groenlandicum,CS_13,YW & AM,2019-07-12,N1,101,1.2,3.5
Rhododendron groenlandicum,CS_13,YW & AM,2019-07-12,N2,65,0.5,5
Rhododendron groenlandicum,CS_13,YW & AM,2019-07-12,N3,64,0.4,5.5
Rhododendron groenlandicum,CS_13,YW & AM,2019-07-12,N4,42,0.4,5.7
Picea maria,CS_13,YW & AM,2019-07-12,N1,188,3,7.2
Picea maria,CS_13,YW & AM,2019-07-12,N2,128,2.9,9.5
Picea maria,CS_13,YW & AM,2019-07-12,N3,184,1.8,9.5
Amelanchier Spp.,CS_13,YW & AM,2019-07-12,N1,67,0.4,3.4
Kalmia angustifolia,CS_13,YW & AM,2019-07-12,E1,94,0.6,1.3
Kalmia angustifolia,CS_13,YW & AM,2019-07-12,E2,92,0.3,1.3
Kalmia angustifolia,CS_13,YW & AM,2019-07-12,E3,101,0.5,1.8
Kalmia angustifolia,CS_13,YW & AM,2019-07-12,E4,124,0.7,2
Kalmia angustifolia,CS_13,YW & AM,2019-07-12,E5,67,0.35,2
Amelanchier Spp.,CS_13,YW & AM,2019-07-12,E1,86,0.6,1.9
Amelanchier Spp.,CS_13,YW & AM,2019-07-12,E2,95,0.7,2.3
Amelanchier Spp.,CS_13,YW & AM,2019-07-12,E3,53,0.3,2.35
Kalmia angustifolia,CS_13,YW & AM,2019-07-12,S1,72,0.35,0.2
Kalmia angustifolia,CS_13,YW & AM,2019-07-12,S2,56,0.2,0.2
Kalmia angustifolia,CS_13,YW & AM,2019-07-12,S3,50,0.2,0.2
Kalmia angustifolia,CS_13,YW & AM,2019-07-12,S4,60,0.4,1
Kalmia angustifolia,CS_13,YW & AM,2019-07-12,S5,50,0.5,1.3
Alnus inca,CS_13,YW & AM,2019-07-12,S1,56,0.2,0.3
Amelanchier Spp.,CS_13,YW & AM,2019-07-12,S1,47,0.6,0.9
Picea maria,CS_13,YW & AM,2019-07-12,S1,127,2.65,0.6
Viburnum nudum,CS_13,YW & AM,2019-07-12,S1,47,1.1,2.6
Viburnum nudum,CS_13,YW & AM,2019-07-12,S2,64,1.1,2.7
Kalmia angustifolia,CS_13,YW & AM,2019-07-12,W1,67,0.45,0.8
Kalmia angustifolia,CS_13,YW & AM,2019-07-12,W2,68,0.4,0.8
Kalmia angustifolia,CS_13,YW & AM,2019-07-12,W3,66,0.4,0.8
Kalmia angustifolia,CS_13,YW & AM,2019-07-12,W4,71,0.55,0.9
Kalmia angustifolia,CS_13,YW & AM,2019-07-12,W5,78,0.55,0.9
Alnus inca,CS_13,YW & AM,2019-07-12,W1,160,1.3,1.07
Alnus inca,CS_13,YW & AM,2019-07-12,W2,158,1.1,1.09
Alnus inca,CS_13,YW & AM,2019-07-12,W3,50,0.6,1.07
Alnus inca,CS_13,YW & AM,2019-07-12,W4,125,1.3,1.2
Kalmia angustifolia,CS_14,YW & AM,2019-07-12,N1,138,0.55,0.5
Kalmia angustifolia,CS_14,YW & AM,2019-07-12,N2,60,0.25,0.5
Kalmia angustifolia,CS_14,YW & AM,2019-07-12,N3,80,0.25,0.5
Kalmia angustifolia,CS_14,YW & AM,2019-07-12,N4,47,0.2,0.5
Kalmia angustifolia,CS_14,YW & AM,2019-07-12,N5,91,0.45,0.5
Kalmia angustifolia,CS_14,YW & AM,2019-07-12,E1,87,0.4,0.5
Kalmia angustifolia,CS_14,YW & AM,2019-07-12,E2,85,0.4,0.5
Kalmia angustifolia,CS_14,YW & AM,2019-07-12,E3,59,0.25,0.5
Kalmia angustifolia,CS_14,YW & AM,2019-07-12,E4,60,0.3,0.6
Kalmia angustifolia,CS_14,YW & AM,2019-07-12,E5,73,0.55,0.5
Picea glauca,CS_14,YW & AM,2019-07-12,E1,132,2.2,7.95
Alnus inca,CS_14,YW & AM,2019-07-12,E1,67,0.55,9.7
Kalmia angustifolia,CS_14,YW & AM,2019-07-12,S1,87,0.55,0.05
Kalmia angustifolia,CS_14,YW & AM,2019-07-12,S2,96,0.6,0.01
Kalmia angustifolia,CS_14,YW & AM,2019-07-12,S3,60,0.5,0.6
Kalmia angustifolia,CS_14,YW & AM,2019-07-12,S4,103,0.55,0.1
Kalmia angustifolia,CS_14,YW & AM,2019-07-12,S5,55,0.25,0.2
Amelanchier Spp.,CS_14,YW & AM,2019-07-12,S1,80,0.55,0.5
Amelanchier Spp.,CS_14,YW & AM,2019-07-12,S2,65,0.7,1.1
Kalmia angustifolia,CS_14,YW & AM,2019-07-12,W1,55,0.3,2
Kalmia angustifolia,CS_14,YW & AM,2019-07-12,W2,72,0.2,2
Kalmia angustifolia,CS_14,YW & AM,2019-07-12,W3,57,0.25,2
Kalmia angustifolia,CS_14,YW & AM,2019-07-12,W4,62,0.5,2.1
Kalmia angustifolia,CS_14,YW & AM,2019-07-12,W5,67,0.2,2.2
Amelanchier Spp.,CS_14,YW & AM,2019-07-12,W1,63,0.4,0.5
Amelanchier Spp.,CS_14,YW & AM,2019-07-12,W2,52,0.7,4.6
Vaccinium angustifolium ,CS_14,YW & AM,2019-07-12,W1,48,1,2
Rhododendron groenlandicum,CS_14,YW & AM,2019-07-12,W1,81,0.5,3.3
Rhododendron groenlandicum ,CS_14,YW & AM,2019-07-12,W2,50,0.5,3.7
Alnus inca,CS_15,IR & GR,2019-07-12,N1,20,0.6,1.9
Alnus inca,CS_15,IR & GR,2019-07-12,W1,40,0.6,3.1
Alnus inca,CS_15,IR & GR,2019-07-12,W2,178,2.2,8.1
Kalmia angustifolia,CS_16,IR & GR,2019-07-12,N1,59,0.3,0.1
Kalmia angustifolia,CS_16,IR & GR,2019-07-12,N2,41,0.2,0.31
Kalmia angustifolia,CS_16,IR & GR,2019-07-12,N3,61.5,0.5,0.73
Kalmia angustifolia,CS_16,IR & GR,2019-07-12,N4,45,0.2,6.05
Kalmia angustifolia,CS_16,IR & GR,2019-07-12,N5,50,0.2,6.25
Picea maria,CS_16,IR & GR,2019-07-12,N1,50,0.5,3.72
Picea maria,CS_16,IR & GR,2019-07-12,N2,69.5,0.7,4.85
Picea maria,CS_16,IR & GR,2019-07-12,N3,44,0.6,5
Picea maria,CS_16,IR & GR,2019-07-12,N4,47,0.4,5.25
Picea maria,CS_16,IR & GR,2019-07-12,N5,52,0.4,9.08
Kalmia angustifolia,CS_16,IR & GR,2019-07-12,S1,40,0.2,0.5
Kalmia angustifolia,CS_16,IR & GR,2019-07-12,S2,52,0.3,0.75
Kalmia angustifolia,CS_16,IR & GR,2019-07-12,S3,59,0.3,0.8
Kalmia angustifolia,CS_16,IR & GR,2019-07-12,S4,47,0.2,0.93
Kalmia angustifolia,CS_16,IR & GR,2019-07-12,S5,70,0.4,1.1
Rhododendron groenlandicum,CS_16,IR & GR,2019-07-12,S1,50.5,0.6,5.55
Rhododendron groenlandicum,CS_16,IR & GR,2019-07-12,S2,65,0.5,5.83
Rhododendron groenlandicum,CS_16,IR & GR,2019-07-12,S3,76,0.8,7.9
Rhododendron groenlandicum,CS_16,IR & GR,2019-07-12,S4,65,0.4,8.57
Kalmia angustifolia,CS_16,IR & GR,2019-07-12,E1,47,0.3,0.27
Kalmia angustifolia,CS_16,IR & GR,2019-07-12,E2,50.5,0.3,0.29
Picea mari,CS_16,IR & GR,2019-07-12,E1,56,0.7,0.09
Picea mari,CS_16,IR & GR,2019-07-12,E2,45,0.6,0.07
Picea mari,CS_16,IR & GR,2019-07-12,E3,47,0.4,0.94
Picea mari,CS_16,IR & GR,2019-07-12,E4,40.5,0.4,1.21
Picea mari,CS_16,IR & GR,2019-07-12,E5,63,0.1,1.91
Kalmia angustifolia,CS_16,IR & GR,2019-07-12,W1,53,0.3,0.3
Kalmia angustifolia,CS_16,IR & GR,2019-07-12,W2,52.5,0.41,0.26
Kalmia angustifolia,CS_16,IR & GR,2019-07-12,W3,73.5,0.5,0.3
Kalmia angustifolia,CS_16,IR & GR,2019-07-12,W4,80.5,0.5,0.38
Kalmia angustifolia,CS_16,IR & GR,2019-07-12,W5,53,0.3,0.4
Picea maria,CS_16,IR & GR,2019-07-12,W1,61,0.5,2
Picea maria,CS_16,IR & GR,2019-07-12,W2,76,0.9,2.03
Picea maria,CS_16,IR & GR,2019-07-12,W3,79,0.7,3.75
Picea maria,CS_16,IR & GR,2019-07-12,W4,102,1,4.7
Picea maria,CS_16,IR & GR,2019-07-12,W5,90.5,0.9,8.37
Vaccinium angustifolium ,CS_16,IR & GR,2019-07-12,W1,42,0.1,3.34
Kalmia angustifolia,CS_17,IR & GR,2019-07-12,N1,135.5,0.9,0.24
Kalmia angustifolia,CS_17,IR & GR,2019-07-12,N2,40,0.2,0.19
Kalmia angustifolia,CS_17,IR & GR,2019-07-12,N3,61,0.4,0.92
Kalmia angustifolia,CS_17,IR & GR,2019-07-12,N4,95,0.4,0.76
Kalmia angustifolia,CS_17,IR & GR,2019-07-12,N5,56,0.2,1.05
Vaccinium angustifolium ,CS_17,IR & GR,2019-07-12,N1,41,0.3,0.06
Betula papyrifera,CS_17,IR & GR,2019-07-12,N1,58,0.2,3.22
Alnus inca,CS_17,IR & GR,2019-07-12,N1,129,1.2,6
Kalmia angustifolia,CS_17,IR & GR,2019-07-12,E1,69,0.2,0.5
Kalmia angustifolia,CS_17,IR & GR,2019-07-12,E2,56,0.3,1.34
Kalmia angustifolia,CS_17,IR & GR,2019-07-12,E3,133,0.3,1.33
Kalmia angustifolia,CS_17,IR & GR,2019-07-12,E4,47,0.2,1.88
Kalmia angustifolia,CS_17,IR & GR,2019-07-12,E5,56,0.2,2.51
Amelanchier Spp.,CS_17,IR & GR,2019-07-12,E1,50,1.5,0.5
Picea maria,CS_17,IR & GR,2019-07-12,E1,149,3.3,6.52
Picea maria,CS_17,IR & GR,2019-07-12,E2,55.5,0.6,6.57
Picea maria,CS_17,IR & GR,2019-07-12,E3,47.5,0.8,6.5
Picea maria,CS_17,IR & GR,2019-07-12,E4,106,1.8,7.63
Picea maria,CS_17,IR & GR,2019-07-12,E5,103,1.1,8.34
Kalmia angustifolia,CS_17,IR & GR,2019-07-12,S1,51,0.2,0.01
Kalmia angustifolia,CS_17,IR & GR,2019-07-12,S2,59,0.3,0.24
Kalmia angustifolia,CS_17,IR & GR,2019-07-12,S3,85,0.4,0.27
Kalmia angustifolia,CS_17,IR & GR,2019-07-12,S4,108,0.7,0.42
Kalmia angustifolia,CS_17,IR & GR,2019-07-12,S5,116,1,0.57
Vaccinium angustifolium ,CS_17,IR & GR,2019-07-12,S1,65,0.3,0.35
Vaccinium angustifolium ,CS_17,IR & GR,2019-07-12,S2,53,0.2,1.7
Vaccinium angustifolium ,CS_17,IR & GR,2019-07-12,S3,45,0.2,1.68
Vaccinium angustifolium ,CS_17,IR & GR,2019-07-12,S4,52,0.2,2.03
Vaccinium angustifolium ,CS_17,IR & GR,2019-07-12,S5,63,0.4,2.03
Kalmia angustifolia,CS_17,IR & GR,2019-07-12,W1,46.5,0.2,0.8
Kalmia angustifolia,CS_17,IR & GR,2019-07-12,W2,74,0.4,1.05
Kalmia angustifolia,CS_17,IR & GR,2019-07-12,W3,79,0.5,1.14
Kalmia angustifolia,CS_17,IR & GR,2019-07-12,W4,76,0.3,1.21
Kalmia angustifolia,CS_17,IR & GR,2019-07-12,W5,79,0.5,1.35
Picea maria,CS_17,IR & GR,2019-07-12,W1,66,0.7,2.15
Picea maria,CS_17,IR & GR,2019-07-12,W2,62.5,0.5,2.2
Picea maria,CS_17,IR & GR,2019-07-12,W3,80,0.8,2.25
Picea maria,CS_17,IR & GR,2019-07-12,W4,80.5,0.8,2.9
Picea maria,CS_17,IR & GR,2019-07-12,W5,80,0.7,2.73
Kalmia angustifolia,CS_18,IR & GR,2019-07-19,N1,54,0.2,2.3
Kalmia angustifolia,CS_18,IR & GR,2019-07-19,N2,46,0.2,2.33
Kalmia angustifolia,CS_18,IR & GR,2019-07-19,N3,42,0.3,2.48
Kalmia angustifolia,CS_18,IR & GR,2019-07-19,N4,71.5,0.3,2.54
Kalmia angustifolia,CS_18,IR & GR,2019-07-19,N5,64,0.5,2.67
Vaccinium angustifolium ,CS_18,IR & GR,2019-07-19,N1,46.5,0.1,3.88
Vaccinium angustifolium ,CS_18,IR & GR,2019-07-19,N2,42,0.3,4.31
Vaccinium angustifolium ,CS_18,IR & GR,2019-07-19,N3,40,0.1,4.05
Vaccinium angustifolium ,CS_18,IR & GR,2019-07-19,N4,40,0.2,5.18
Vaccinium angustifolium ,CS_18,IR & GR,2019-07-19,N5,44,0.2,5.3
Kalmia angustifolia,CS_18,IR & GR,2019-07-19,E1,98,0.5,5.3
Kalmia angustifolia,CS_18,IR & GR,2019-07-19,E2,43,0.2,5.32
Kalmia angustifolia,CS_18,IR & GR,2019-07-19,E3,59,0.2,6
Kalmia angustifolia,CS_18,IR & GR,2019-07-19,E4,48,0.2,6.02
Kalmia angustifolia,CS_18,IR & GR,2019-07-19,E5,48,0.2,6.13
Kalmia angustifolia,CS_18,IR & GR,2019-07-19,S1,40,0.2,1.43
Kalmia angustifolia,CS_18,IR & GR,2019-07-19,S2,44,0.3,1.54
Kalmia angustifolia,CS_18,IR & GR,2019-07-19,S3,46,0.2,1.87
Kalmia angustifolia,CS_18,IR & GR,2019-07-19,S4,48,0.3,1.86
Kalmia angustifolia,CS_18,IR & GR,2019-07-19,S5,55.5,0.3,1.93
Vaccinium angustifolium ,CS_18,IR & GR,2019-07-19,S1,64,0.3,7.55
Kalmia angustifolia,CS_18,IR & GR,2019-07-19,W1,45,0.3,2.3
Kalmia angustifolia,CS_18,IR & GR,2019-07-19,W2,44,0.2,2.2
Kalmia angustifolia,CS_18,IR & GR,2019-07-19,W3,57.5,0.2,2.93
Kalmia angustifolia,CS_18,IR & GR,2019-07-19,W4,44,0.3,3.29
Kalmia angustifolia,CS_18,IR & GR,2019-07-19,W5,48,0.2,3.22
Picea maria,CS_18,IR & GR,2019-07-19,W1,92,0.3,3.32
Picea maria,CS_18,IR & GR,2019-07-19,W2,146,0.8,4.65
Kalmia angustifolia,CS_19,IR & GR,2019-07-17,N1,45,0.2,0.15
Kalmia angustifolia,CS_19,IR & GR,2019-07-17,N2,91,0.4,0.26
Kalmia angustifolia,CS_19,IR & GR,2019-07-17,N3,52,0.2,0.23
Kalmia angustifolia,CS_19,IR & GR,2019-07-17,N4,44,0.2,0.22
Kalmia angustifolia,CS_19,IR & GR,2019-07-17,N5,61,0.3,0.29
Vaccinium angustifolium ,CS_19,IR & GR,2019-07-17,N1,53,0.2,0.3
Vaccinium angustifolium ,CS_19,IR & GR,2019-07-17,N2,59,0.7,1.51
Vaccinium angustifolium ,CS_19,IR & GR,2019-07-17,N3,58,0.2,1.77
Vaccinium angustifolium ,CS_19,IR & GR,2019-07-17,N4,65,0.2,1.8
Vaccinium angustifolium ,CS_19,IR & GR,2019-07-17,N5,45,0.2,1.81
Picea maria,CS_19,IR & GR,2019-07-17,N1,134,2.9,7.6
Picea maria,CS_19,IR & GR,2019-07-17,N2,98,1.2,8.1
Picea maria,CS_19,IR & GR,2019-07-17,N3,80,0.9,8.7
Kalmia angustifolia,CS_19,IR & GR,2019-07-17,E1,57,0.3,0.64
Kalmia angustifolia,CS_19,IR & GR,2019-07-17,E2,41,0.2,0.7
Kalmia angustifolia,CS_19,IR & GR,2019-07-17,E3,45,0.2,0.73
Kalmia angustifolia,CS_19,IR & GR,2019-07-17,E4,71.5,0.5,0.78
Kalmia angustifolia,CS_19,IR & GR,2019-07-17,E5,58.5,0.3,0.77
Vaccinium angustifolium ,CS_19,IR & GR,2019-07-17,E1,49,0.2,0.85
Vaccinium angustifolium ,CS_19,IR & GR,2019-07-17,E2,47,0.3,0.77
Vaccinium angustifolium ,CS_19,IR & GR,2019-07-17,E3,42,0.3,0.65
Vaccinium angustifolium ,CS_19,IR & GR,2019-07-17,E4,45,0.4,0.9
Vaccinium angustifolium ,CS_19,IR & GR,2019-07-17,E5,56,0.2,1.06
Picea maria,CS_19,IR & GR,2019-07-17,E1,83,1.5,9.38
Kalmia angustifolia,CS_19,IR & GR,2019-07-17,S1,71,0.4,0.1
Kalmia angustifolia,CS_19,IR & GR,2019-07-17,S2,41,0.1,0.03
Kalmia angustifolia,CS_19,IR & GR,2019-07-17,S3,72.5,0.3,0.02
